CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/18/2016,11:30,,,,,,NORTHERN BOULEVARD              ,CLEARVIEW EXPRESSWAY,,0,0,0,0,0,0,0,0,Cell Phone (hands-free),Unspecified,,,,3444568,4 dr sedan,Flat Bed,,,
05/18/2016,18:40,,,,,,gawunus expressway              ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3445914,4 dr sedan,utili,,,
05/18/2016,7:15,,,,,,CROSS ISLAND PARKWAY            ,CLINTONVILLE STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3444190,4 dr sedan,,,,
05/18/2016,8:00,QUEENS,11434,,,,,,174-63    129 AVENUE                    ,0,0,0,0,0,0,0,0,Unspecified,,,,,3444243,Station Wagon/Sport Utility Vehicle,,,,
05/18/2016,11:00,BROOKLYN,11205,40.696785,-73.95659,"(40.696785, -73.95659)",PARK AVENUE                     ,BEDFORD AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3450804,Station Wagon/Sport Utility Vehicle,Box Truck,,,
05/18/2016,12:20,,,40.804993,-73.911354,"(40.804993, -73.911354)",BRUCKNER EXPRESSWAY             ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3444348,4 dr sedan,4 dr sedan,,,
05/18/2016,12:45,QUEENS,11385,40.710022,-73.916985,"(40.710022, -73.916985)",,,1855      WILLOUGHBY AVENUE             ,0,0,0,0,0,0,0,0,Unspecified,,,,,3444511,4 dr sedan,,,,
05/18/2016,22:25,,,40.66916,-73.99711,"(40.66916, -73.99711)",Brooklyn Queens Expy            ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3444485,Chassis Cab,4 dr sedan,,,
05/18/2016,16:00,BROOKLYN,11217,40.677998,-73.97306,"(40.677998, -73.97306)",7 AVENUE                        ,FLATBUSH AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3450744,4 dr sedan,Bike,,,
05/18/2016,18:00,,,40.6796,-73.80349,"(40.6796, -73.80349)",VANWYCK EXPRESSWAY              ,116 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3444585,4 dr sedan,4 dr sedan,,,
05/18/2016,21:15,QUEENS,11363,40.768906,-73.73696,"(40.768906, -73.73696)",NORTHERN BOULEVARD              ,CORNELL LANE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3452101,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,0:00,QUEENS,11434,40.66675,-73.779945,"(40.66675, -73.779945)",ROCKAWAY BOULEVARD              ,SOUTH CONDUIT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3451513,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,16:00,,,40.84543,-73.91399,"(40.84543, -73.91399)",,,JEROME AVENUE                           ,0,0,0,0,0,0,0,0,Unspecified,,,,,3444374,Bus,,,,
05/18/2016,5:50,MANHATTAN,10021,40.76649,-73.95696,"(40.76649, -73.95696)",EAST 70 STREET                  ,1 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3443772,4 dr sedan,Taxi,,,
05/18/2016,18:15,STATEN ISLAND,10301,40.63743,-74.08806,"(40.63743, -74.08806)",,,1         ELY STREET                    ,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3444602,4 dr sedan,4 dr sedan,,,
05/18/2016,21:50,,,,,,VERRAZANO BRIDGE                ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3444730,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,9:00,BROOKLYN,11233,40.682106,-73.909065,"(40.682106, -73.909065)",MARION STREET                   ,BROADWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3450442,4 dr sedan,,,,
05/18/2016,16:58,MANHATTAN,10011,40.74889,-74.00703,"(40.74889, -74.00703)",WEST 23 STREET                  ,11 AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3447775,Van,Bus,,,
05/18/2016,8:15,,,40.89492,-73.85314,"(40.89492, -73.85314)",EAST 236 STREET                 ,BARNES AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3443869,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,15:20,,,,,,FDR                             ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unsafe Lane Changing,,,,3444317,4 dr sedan,Motorcycle,,,
05/18/2016,14:28,MANHATTAN,10025,40.797337,-73.96244,"(40.797337, -73.96244)",MANHATTAN AVENUE                ,WEST 104 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3444333,Motorcycle,,,,
05/18/2016,19:22,,,40.801754,-73.93121,"(40.801754, -73.93121)",EAST 125 STREET                 ,1 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3448584,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,21:00,BROOKLYN,11215,40.672195,-73.99374,"(40.672195, -73.99374)",,,112       2 AVENUE                      ,0,0,0,0,0,0,0,0,Unspecified,,,,,3444746,Station Wagon/Sport Utility Vehicle,,,,
05/18/2016,10:15,,,40.785805,-73.94286,"(40.785805, -73.94286)",EAST 100 STREET                 ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Driver Inattention/Distraction,,,,3453003,4 dr sedan,Taxi,,,
05/18/2016,11:50,,,40.7681,-73.90512,"(40.7681, -73.90512)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3446265,4 dr sedan,4 dr sedan,,,
05/18/2016,18:20,MANHATTAN,10023,40.781757,-73.983055,"(40.781757, -73.983055)",WEST 75 STREET                  ,WEST END AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3444327,4 dr sedan,4 dr sedan,,,
05/18/2016,8:30,QUEENS,11432,40.70636,-73.792534,"(40.70636, -73.792534)",168 STREET                      ,JAMAICA AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3444122,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,21:30,,,40.824932,-73.82431,"(40.824932, -73.82431)",RANDALL AVENUE                  ,CROSS BRONX EXPRESSWAY,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3519591,4 dr sedan,4 dr sedan,,,
05/18/2016,19:00,BRONX,10461,40.847443,-73.83111,"(40.847443, -73.83111)",,,3039      BUHRE AVENUE                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3444367,4 dr sedan,,,,
05/18/2016,15:40,,,40.563915,-74.11637,"(40.563915, -74.11637)",HYLAN BOULEVARD                 ,TYSENS LANE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3452670,4 dr sedan,4 dr sedan,,,
05/18/2016,16:35,,,40.702858,-73.99288,"(40.702858, -73.99288)",Brooklyn Bridge                 ,,,1,0,0,0,0,0,1,0,Illnes,,,,,3444484,Station Wagon/Sport Utility Vehicle,,,,
05/18/2016,4:25,BROOKLYN,11217,,,,FLATBUSH AVENUE                 ,DEAN STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Unsafe Lane Changing,,,,3444019,4 dr sedan,4 dr sedan,,,
05/18/2016,17:25,QUEENS,11104,40.74181,-73.91993,"(40.74181, -73.91993)",GREENPOINT AVENUE               ,45 STREET,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,3451829,Station Wagon/Sport Utility Vehicle,,,,
05/18/2016,23:30,,,40.64591,-74.01317,"(40.64591, -74.01317)",51 STREET                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3450357,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
05/18/2016,10:45,,,40.77428,-73.97738,"(40.77428, -73.97738)",,,WEST 69 STREET                          ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3443778,Box Truck,2 dr sedan,,,
05/18/2016,9:34,,,40.765987,-73.98713,"(40.765987, -73.98713)",9 AVENUE                        ,,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3448178,Tow Truck / Wrecker,4 dr sedan,,,
05/18/2016,7:45,,,40.71285,-73.83391,"(40.71285, -73.83391)",Jackie Robinson Pkwy            ,,,0,0,0,0,0,0,0,0,Brakes Defective,Unspecified,,,,3444506,4 dr sedan,4 dr sedan,,,
05/18/2016,18:25,MANHATTAN,10006,40.709305,-74.01194,"(40.709305, -74.01194)",TRINITY PLACE                   ,CEDAR STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3447449,4 dr sedan,4 dr sedan,,,
05/18/2016,10:05,QUEENS,11421,40.68768,-73.86382,"(40.68768, -73.86382)",90 AVENUE                       ,77 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3444104,2 dr sedan,,,,
05/18/2016,1:00,MANHATTAN,10022,40.759983,-73.964806,"(40.759983, -73.964806)",EAST 58 STREET                  ,2 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Obstruction/Debris,,,,3448029,4 dr sedan,4 dr sedan,,,
05/18/2016,0:25,,,40.84771,-73.93798,"(40.84771, -73.93798)",BROADWAY                        ,WEST 177 STREET,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,3448740,4 dr sedan,Pick-up Truck,,,
05/18/2016,14:00,BROOKLYN,11219,40.633488,-73.98656,"(40.633488, -73.98656)",47 STREET                       ,15 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3449923,Pick-up Truck,4 dr sedan,,,
05/18/2016,10:37,BROOKLYN,11229,40.610096,-73.96138,"(40.610096, -73.96138)",AVENUE P                        ,EAST 12 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3449670,Sedan,Sedan,,,
05/18/2016,18:00,STATEN ISLAND,10301,40.614853,-74.107956,"(40.614853, -74.107956)",VICTORY BOULEVARD               ,RENWICK AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3452544,Station Wagon/Sport Utility Vehicle,Bike,,,
05/18/2016,12:35,QUEENS,11694,40.58356,-73.82174,"(40.58356, -73.82174)",BEACH 101 STREET                ,ROCKAWAY BEACH BOULEVARD,,0,0,0,0,0,0,0,0,Passing Too Closely,Passing or Lane Usage Improper,,,,3451195,4 dr sedan,Van,,,
05/18/2016,17:45,BRONX,10456,40.833893,-73.89901,"(40.833893, -73.89901)",EAST 170 STREET                 ,CLINTON AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3444354,2 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,19:11,BRONX,10455,40.819542,-73.91353,"(40.819542, -73.91353)",EAST 155 STREET                 ,3 AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3448831,Sedan,,,,
05/18/2016,12:55,MANHATTAN,10021,40.770752,-73.95695,"(40.770752, -73.95695)",2 AVENUE                        ,EAST 75 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3448307,Sedan,Sedan,,,
05/18/2016,18:45,,,40.70775,-73.932304,"(40.70775, -73.932304)",JOHNSON AVENUE                  ,MORGAN AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3451079,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,15:02,,,40.844753,-73.922295,"(40.844753, -73.922295)",Cross Bronx Expy                ,,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,3444682,Pick-up Truck,Tow Truck / Wrecker,,,
05/18/2016,13:30,MANHATTAN,10036,40.75898,-73.99595,"(40.75898, -73.99595)",10 AVENUE                       ,WEST 41 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3447782,Bus,4 dr sedan,,,
05/18/2016,6:45,,,40.619373,-74.1642,"(40.619373, -74.1642)",Staten Island Expy              ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3445540,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,11:30,QUEENS,11411,40.693226,-73.73404,"(40.693226, -73.73404)",LINDEN BOULEVARD                ,227 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3451512,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,11:37,BROOKLYN,11206,40.701294,-73.93081,"(40.701294, -73.93081)",,,63        CENTRAL AVENUE                ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3444753,2 dr sedan,,,,
05/18/2016,11:00,QUEENS,11420,40.67851,-73.81435,"(40.67851, -73.81435)",115 AVENUE                      ,125 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3444158,Station Wagon/Sport Utility Vehicle,2 dr sedan,,,
05/18/2016,18:30,BROOKLYN,11231,40.67641,-74.00104,"(40.67641, -74.00104)",HAMILTON AVENUE                 ,CLINTON STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3450653,4 dr sedan,4 dr sedan,,,
05/18/2016,23:35,MANHATTAN,10022,40.755756,-73.96479,"(40.755756, -73.96479)",EAST 53 STREET                  ,1 AVENUE,,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,,,,3448034,4 dr sedan,Bike,,,
05/18/2016,12:15,,,,,,henry hudson parkway            ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3443807,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,16:05,QUEENS,11432,40.71501,-73.80982,"(40.71501, -73.80982)",,,150-35    COOLIDGE AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3444533,Station Wagon/Sport Utility Vehicle,Box Truck,,,
05/18/2016,14:47,,,40.76187,-73.83898,"(40.76187, -73.83898)",Whitestone Expy                 ,,,1,0,0,0,0,0,1,0,Following Too Closely,Following Too Closely,Unspecified,,,3444808,4 dr sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
05/18/2016,21:40,BROOKLYN,11204,40.626606,-73.986145,"(40.626606, -73.986145)",,,5418      17 AVENUE                     ,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3444411,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,14:40,MANHATTAN,10001,40.751446,-74.001434,"(40.751446, -74.001434)",10 AVENUE                       ,WEST 29 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,Unspecified,,,3447773,PK,PK,4 dr sedan,,
05/18/2016,20:47,MANHATTAN,10013,40.71896,-74.00128,"(40.71896, -74.00128)",CANAL STREET                    ,CORTLANDT ALLEY,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3447561,4 dr sedan,Box Truck,,,
05/18/2016,20:00,,,40.725933,-73.90073,"(40.725933, -73.90073)",Long Island Expy                ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3444553,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,13:42,BROOKLYN,11236,40.651157,-73.918144,"(40.651157, -73.918144)",AVENUE A                        ,REMSEN AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3450037,4 dr sedan,4 dr sedan,,,
05/18/2016,15:25,MANHATTAN,10128,40.78143,-73.954185,"(40.78143, -73.954185)",LEXINGTON AVENUE                ,EAST 89 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3448302,4 dr sedan,Carry All,,,
05/18/2016,8:36,,,40.87816,-73.90379,"(40.87816, -73.90379)",Major Deegan Expy               ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453336,4 dr sedan,4 dr sedan,,,
05/18/2016,16:46,BROOKLYN,11216,40.675053,-73.947235,"(40.675053, -73.947235)",SAINT MARKS AVENUE              ,NEW YORK AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3450700,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,16:00,MANHATTAN,10001,40.74779,-73.98704,"(40.74779, -73.98704)",,,32        WEST 32 STREET                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3444306,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,11:45,QUEENS,11367,40.717724,-73.81698,"(40.717724, -73.81698)",,,144-17    UNION TURNPIKE                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3445453,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/18/2016,22:30,QUEENS,11106,,,,crescent st                     ,broadway,,1,0,0,0,1,0,0,0,Alcohol Involvement,Unspecified,,,,3452348,4 dr sedan,Bike,,,
05/18/2016,20:00,BRONX,10458,40.858044,-73.899574,"(40.858044, -73.899574)",,,2324      GRAND CONCOURSE               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3444376,4 dr sedan,,,,
05/18/2016,20:15,BROOKLYN,11224,40.576973,-73.98172,"(40.576973, -73.98172)",,,1403      MERMAID AVENUE                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3444394,Taxi,4 dr sedan,,,
05/18/2016,21:00,QUEENS,11413,40.6755,-73.73864,"(40.6755, -73.73864)",231 STREET                      ,MERRICK BOULEVARD,,1,0,0,0,0,0,1,0,Alcohol Involvement,Other Vehicular,,,,3451516,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,1:10,QUEENS,11101,40.751408,-73.93757,"(40.751408, -73.93757)",41 AVENUE                       ,28 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3444252,Taxi,Taxi,,,
05/18/2016,17:10,BROOKLYN,11205,40.695004,-73.9525,"(40.695004, -73.9525)",MYRTLE AVENUE                   ,NOSTRAND AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3450806,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,23:05,,,40.766876,-73.97908,"(40.766876, -73.97908)",CENTRAL PARK SOUTH              ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3448185,4 dr sedan,,,,
05/18/2016,13:00,,,40.71636,-73.728645,"(40.71636, -73.728645)",CROSS ISLAND PARKWAY            ,,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,3445431,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,7:25,BROOKLYN,11221,40.68876,-73.91575,"(40.68876, -73.91575)",,,1100      JEFFERSON AVENUE              ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3444480,Bus,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,9:40,,,40.643986,-74.01149,"(40.643986, -74.01149)",52 STREET                       ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3450361,Station Wagon/Sport Utility Vehicle,,,,
05/18/2016,14:25,BROOKLYN,11231,40.678394,-74.01169,"(40.678394, -74.01169)",VAN BRUNT STREET                ,KING STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3450654,4 dr sedan,,,,
05/18/2016,12:30,,,40.84481,-73.92579,"(40.84481, -73.92579)",Cross Bronx Expy                ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unsafe Lane Changing,,,,3444372,Tractor Truck Diesel,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,14:15,MANHATTAN,10013,40.71816,-73.99794,"(40.71816, -73.99794)",MULBERRY STREET                 ,HESTER STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3447557,4 dr sedan,4 dr sedan,,,
05/18/2016,12:00,MANHATTAN,10013,40.719902,-74.00261,"(40.719902, -74.00261)",CANAL STREET                    ,MERCER STREET,,0,0,0,0,0,0,0,0,Accelerator Defective,Unspecified,,,,3447448,4 dr sedan,Bike,,,
05/18/2016,9:10,,,40.88016,-73.88518,"(40.88016, -73.88518)",Mosholu Pkwy                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3444388,4 dr sedan,4 dr sedan,,,
05/18/2016,15:45,,,40.76622,-73.781006,"(40.76622, -73.781006)",Clearview Expy                  ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3444570,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,8:25,BROOKLYN,11220,40.64995,-74.01231,"(40.64995, -74.01231)",46 STREET                       ,3 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3450352,Beverage Truck,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,11:30,BRONX,10465,40.831123,-73.826645,"(40.831123, -73.826645)",,,3508      EAST TREMONT AVENUE           ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3443858,Station Wagon/Sport Utility Vehicle,PK,,,
05/18/2016,17:50,,,40.572132,-74.10809,"(40.572132, -74.10809)",,,HYLAN BOULEVARD                         ,2,0,0,0,0,0,2,0,Following Too Closely,Other Vehicular,,,,3446513,4 dr sedan,4 dr sedan,,,
05/18/2016,11:40,,,40.825333,-73.943825,"(40.825333, -73.943825)",,,SAINT NICHOLAS AVENUE                   ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3444663,DELIV,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,13:30,QUEENS,11365,40.74119,-73.79279,"(40.74119, -73.79279)",BOOTH MEMORIAL AVENUE           ,UTOPIA PARKWAY,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,Unspecified,,,3452099,2 dr sedan,Station Wagon/Sport Utility Vehicle,4 dr sedan,,
05/18/2016,19:43,MANHATTAN,10026,40.805096,-73.95488,"(40.805096, -73.95488)",8 AVENUE                        ,WEST 117 STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3448657,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
05/18/2016,15:00,,,,,,BRUCKNER EXPRESSWAY             ,COLGATE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3449022,Box Truck,4 dr sedan,,,
05/18/2016,18:35,QUEENS,11004,40.741917,-73.712944,"(40.741917, -73.712944)",,,81-11     257 STREET                    ,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3444525,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,12:30,MANHATTAN,10016,40.740307,-73.97607,"(40.740307, -73.97607)",,,485       1 AVENUE                      ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3443745,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
05/18/2016,23:48,QUEENS,11368,40.759727,-73.8455,"(40.759727, -73.8455)",126 STREET                      ,34 AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4022411,4 dr sedan,Pick-up Truck,,,
05/18/2016,19:00,,,40.742043,-73.95436,"(40.742043, -73.95436)",51 AVENUE                       ,VERNON BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3451830,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
05/18/2016,14:30,,,40.761852,-73.84384,"(40.761852, -73.84384)",Whitestone Expy                 ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3444558,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,8:00,,,40.84481,-73.92579,"(40.84481, -73.92579)",Cross Bronx Expy                ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3444371,Station Wagon/Sport Utility Vehicle,Tractor Truck Diesel,,,
05/18/2016,13:45,MANHATTAN,10023,40.78061,-73.981316,"(40.78061, -73.981316)",Broadway                        ,,,0,0,0,0,0,0,0,0,Following Too Closely,Turning Improperly,,,,3444325,Taxi,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,20:30,QUEENS,11101,40.733414,-73.93709,"(40.733414, -73.93709)",,,37-30     REVIEW AVENUE                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3445459,Station Wagon/Sport Utility Vehicle,,,,
05/18/2016,12:30,BROOKLYN,11217,,,,FLATBUSH AVENUE                 ,4 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3444036,Garbage or Refuse,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,18:00,BRONX,10461,40.85071,-73.83478,"(40.85071, -73.83478)",,,1946      MULFORD AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3444365,4 dr sedan,2 dr sedan,,,
05/18/2016,15:30,MANHATTAN,10010,40.740616,-73.98741,"(40.740616, -73.98741)",,,48        EAST 23 STREET                ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3445188,4 dr sedan,Chassis Cab,,,
05/18/2016,21:30,MANHATTAN,10003,40.73166,-73.98545,"(40.73166, -73.98545)",2 AVENUE                        ,EAST 13 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,,,,3447698,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,17:00,QUEENS,11692,40.592987,-73.78905,"(40.592987, -73.78905)",ARVERNE BOULEVARD               ,BEACH 59 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3451196,Station Wagon/Sport Utility Vehicle,,,,
05/18/2016,10:20,,,,,,verrazano bridge toll           ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3444851,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,12:50,MANHATTAN,10018,40.753475,-73.99254,"(40.753475, -73.99254)",WEST 36 STREET                  ,8 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3447939,Station Wagon/Sport Utility Vehicle,Taxi,,,
05/18/2016,1:15,,,40.764053,-73.96476,"(40.764053, -73.96476)",,,3 AVENUE                                ,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3443762,Taxi,Taxi,,,
05/18/2016,16:00,,,40.829155,-73.93728,"(40.829155, -73.93728)",8 AVENUE                        ,,,0,0,0,0,0,0,0,0,Following Too Closely,Driver Inattention/Distraction,,,,3448701,4 dr sedan,Taxi,,,
